icountry,I_RELIGION,oilstate
"Afghanistan","Muslim",0
"Akrotiri",-999,-999
"Albania","Muslim",1
"Algeria","Muslim",1
"American Samoa",-999,0
"Andorra","Catholic",-999
"Angola","Catholic",1
"Anguilla",-999,-999
"Antarctica",-999,-999
"Antigua and Barbuda","Other Christian",0
"Argentina","Catholic",1
"Armenia","Orthodox Christian",0
"Aruba",-999,1
"Australia","Catholic",1
"Austria","Catholic",1
"Azerbaijan","Muslim",1
"Bahamas, The","Other Christian",0
"Bahrain","Muslim",1
"Bangladesh","Muslim",1
"Barbados","Other Christian",1
"Belarus","Orthodox Christian",1
"Belgium","Catholic",1
"Belize","Catholic",1
"Benin","Catholic",0
"Bermuda",-999,0
"Bhutan","Buddhist",0
"Bolivia","Catholic",1
"Bosnia and Herzegovina","Muslim",-999
"Botswana","Other Christian",0
"Bougainville",-999,-999
"Brazil","Catholic",1
"British Indian Ocean Territory",-999,-999
"British Virgin Islands",-999,0
"Brunei","Muslim",1
"Bulgaria","Orthodox Christian",1
"Burkina Faso","Muslim",0
"Burma (Myanmar)","Buddhist",1
"Burundi","Catholic",0
"Cambodia","Buddhist",0
"Cameroon","Other",1
"Canada","Catholic",1
"Cape Verde","Catholic",0
"Cayman Islands",-999,0
"Central African Republic","Other Christian",0
"Chad","Muslim",1
"Channel Islands",-999,-999
"Chile","Catholic",1
"Hong Kong","Other",0
"Macau","Buddhist",0
"Taiwan","Other",1
"Tibet","Buddhist",-999
"China","Buddhist",1
"Christmas Island",-999,-999
"Cocos (Keeling) Islands",-999,-999
"Colombia","Catholic",1
"Comoros","Muslim",0
"Congo, Democratic Republic of the","Catholic",1
"Congo, Republic of the","Catholic",1
"Cook Islands",-999,0
"Costa Rica","Catholic",0
"Cote d'Ivoire","Other Christian",1
"Croatia","Catholic",1
"Cuba","Catholic",1
"Cyprus","Orthodox Christian",0
"Czech Republic","Other",1
"Denmark","Other Christian",1
"Dhekelia",-999,-999
"Djibouti","Muslim",0
"Dominica","Catholic",0
"Dominican Republic","Catholic",0
"Timor-Leste","Catholic",1
"Ecuador","Catholic",1
"Egypt","Muslim",1
"El Salvador","Catholic",0
"Equatorial Guinea","Catholic",1
"Eritrea","Muslim",0
"Estonia","Orthodox Christian",1
"Ethiopia","Muslim",0
"Falkland Islands (Islas Malvinas)",-999,0
"Faroe Islands",-999,0
"Fiji","Other Christian",0
